========= OUTER EDGE =========
(en sentido anti-horario)
977, 104,
932, 107,
885, 118,
837, 138,
798, 159,
774, 181,
754, 208,
740, 227,
719, 258,
705, 283,
693, 308,
684, 327,
667, 364,
655, 395,
631, 448,
619, 482,
609, 510,
575, 533,
562, 537,
545, 536,
525, 530,
511, 525,
492, 510,
471, 488,
446, 463,
423, 441,
399, 427,
371, 416,
350, 413,
300, 413,
249, 416,
201, 430,
160, 443,
122, 461,
97, 483,
76, 509,
63, 528,
47, 558,
33, 585,
28, 605,
28, 654,
33, 697,
43, 734,
62, 775,
78, 806,
100, 829,
130, 852, 
162, 877,
194, 902,
228, 939,
164, 983,
281, 1010,
236, 1040,
305, 1073,
313, 1112,
325, 1171,
341, 1231,
366, 1280,
401, 1317,
448, 1352,
493, 1380,
521, 1388,
1589, 1388, 
1620, 1384, 
1640, 1376,
1656, 1366,
1847, 1153,
1886, 1104,
1889, 1079,
1907, 1044,
1913, 956,
1906, 843,
1886, 704,
1871, 663,
1850, 631,
1815, 597,
1763, 582,
1740, 581,
1711, 581,
1695, 585,
1671, 591,
1643, 604,
1500, 692,
1442, 724,
1426, 729,
1380, 730,
1345, 0716,
1318, 698,
1298, 679,
1286, 639,
1265, 548,
1250, 439,
1230, 267,
1206, 222,
1173, 183,
1157, 166,
1112, 134,
1084, 118,
1022, 105
 


========= INNER EDGE =========
(en sentido horario)
970, 188,
1026, 200,
1051, 213,
1084, 236,
1111, 256,
1224, 273,
1133, 290,
1141, 336,
1149, 531,
1163, 625,
1190, 720, 
